"SampleSize","Distribution","EffectSize","Simulations","T_SigRate","MW_SigRate","Agreement_2G","T_only","MW_only","PvalCorr_2G","ANOVA_SigRate","KW_SigRate","Agreement_3G","ANOVA_only","KW_only","PvalCorr_3G"
5,"normal",0,5000,0.0442,0.03,0.9802,0.017,0.0028,0.848813358177485,0.0484,0.0442,0.9786,0.0128,0.0086,0.913059269088501
5,"normal",0.2,5000,0.0456,0.0328,0.9824,0.0152,0.0024,0.8591955071154,0.0766,0.0668,0.9762,0.0168,0.007,0.916436687358442
5,"normal",0.5,5000,0.0966,0.0756,0.967,0.027,0.006,0.885593943719747,0.2232,0.1994,0.9374,0.0432,0.0194,0.939071127212141
5,"skewed",0,5000,0.034,0.035,0.9802,0.0094,0.0104,0.789408206759487,0.0402,0.0416,0.9738,0.0124,0.0138,0.842912699048803
5,"skewed",0.2,5000,0.0578,0.0608,0.9694,0.0138,0.0168,0.82230737595071,0.1268,0.1366,0.9318,0.0292,0.039,0.879670027640999
5,"skewed",0.5,5000,0.1994,0.2086,0.904,0.0434,0.0526,0.880218468567878,0.593,0.645,0.8416,0.0532,0.1052,0.850591290678812
5,"heavy_tail",0,5000,0.0364,0.0344,0.9764,0.0128,0.0108,0.779109909319625,0.0432,0.0502,0.9758,0.0086,0.0156,0.839588388692162
5,"heavy_tail",0.2,5000,0.0388,0.037,0.9778,0.012,0.0102,0.784458872527106,0.0506,0.055,0.964,0.0158,0.0202,0.83956362407345
5,"heavy_tail",0.5,5000,0.0728,0.0662,0.9654,0.0206,0.014,0.815621724710759,0.1334,0.142,0.9358,0.0278,0.0364,0.863761110480804
5,"flat",0,5000,0.0474,0.0326,0.9796,0.0176,0.0028,0.891553744901529,0.0528,0.0426,0.981,0.0146,0.0044,0.938124818903811
5,"flat",0.2,5000,0.0738,0.0508,0.9694,0.0268,0.0038,0.902360876987713,0.1224,0.0994,0.9622,0.0304,0.0074,0.948466763110734
5,"flat",0.5,5000,0.1882,0.136,0.939,0.0566,0.0044,0.913073423521357,0.5404,0.4506,0.8818,0.104,0.0142,0.936948695639275
10,"normal",0,5000,0.0452,0.043,0.9846,0.0088,0.0066,0.881412332252261,0.047,0.045,0.9772,0.0124,0.0104,0.922438919633925
10,"normal",0.2,5000,0.073,0.0592,0.9722,0.0208,0.007,0.889220210259606,0.1022,0.0908,0.965,0.0232,0.0118,0.936621496096025
10,"normal",0.5,5000,0.1856,0.1638,0.9506,0.0356,0.0138,0.916418213612388,0.4476,0.416,0.9192,0.0562,0.0246,0.94547982150884
10,"skewed",0,5000,0.0398,0.0402,0.9788,0.0104,0.0108,0.747098519876102,0.0466,0.0476,0.969,0.015,0.016,0.814052878415814
10,"skewed",0.2,5000,0.1024,0.108,0.9504,0.022,0.0276,0.806800235521081,0.2574,0.2688,0.8926,0.048,0.0594,0.863298595397896
10,"skewed",0.5,5000,0.4886,0.512,0.8866,0.045,0.0684,0.853998830771511,0.9454,0.9606,0.9612,0.0118,0.027,0.679676079650948
10,"heavy_tail",0,5000,0.0424,0.0454,0.977,0.01,0.013,0.746714080368006,0.04,0.047,0.969,0.012,0.019,0.786891136075281
10,"heavy_tail",0.2,5000,0.047,0.054,0.979,0.007,0.014,0.752164606161039,0.0734,0.087,0.9628,0.0118,0.0254,0.81301576601569
10,"heavy_tail",0.5,5000,0.1126,0.1286,0.9484,0.0178,0.0338,0.788294475289313,0.2338,0.2892,0.8974,0.0236,0.079,0.811062730138282
10,"flat",0,5000,0.0534,0.047,0.9848,0.0108,0.0044,0.934427493955656,0.0514,0.046,0.9854,0.01,0.0046,0.968463934107601
10,"flat",0.2,5000,0.111,0.0956,0.9694,0.023,0.0076,0.940218574917443,0.2228,0.195,0.9522,0.0378,0.01,0.972028541917471
10,"flat",0.5,5000,0.412,0.3564,0.92,0.0678,0.0122,0.943064150124073,0.9246,0.8588,0.9326,0.0666,8e-04,0.945879929548934
15,"normal",0,5000,0.0522,0.0474,0.98,0.0124,0.0076,0.88880504164365,0.0494,0.0468,0.9794,0.0116,0.009,0.929209463496418
15,"normal",0.2,5000,0.0806,0.0718,0.9704,0.0192,0.0104,0.907652015664962,0.1488,0.1368,0.9576,0.0272,0.0152,0.942692053336288
15,"normal",0.5,5000,0.2614,0.236,0.939,0.0432,0.0178,0.938948153472026,0.644,0.6132,0.9248,0.053,0.0222,0.94654896893577
15,"skewed",0,5000,0.0406,0.045,0.9724,0.0116,0.016,0.751912855421768,0.0512,0.0498,0.9638,0.0188,0.0174,0.802524428219418
15,"skewed",0.2,5000,0.157,0.1626,0.934,0.0302,0.0358,0.809944093371945,0.4072,0.429,0.881,0.0486,0.0704,0.859116327537607
15,"skewed",0.5,5000,0.6972,0.7152,0.902,0.04,0.058,0.847369827151034,0.9942,0.998,0.9954,4e-04,0.0042,0.826632979868205
15,"heavy_tail",0,5000,0.0406,0.044,0.9758,0.0104,0.0138,0.714428298970799,0.0446,0.0486,0.9668,0.0146,0.0186,0.770838576650435
15,"heavy_tail",0.2,5000,0.0572,0.0678,0.9658,0.0118,0.0224,0.719494239461475,0.0844,0.1032,0.9412,0.02,0.0388,0.791860457021708
15,"heavy_tail",0.5,5000,0.141,0.1632,0.9326,0.0226,0.0448,0.760960988148328,0.324,0.4218,0.8566,0.0228,0.1206,0.780622460535633
15,"flat",0,5000,0.0544,0.046,0.9828,0.0128,0.0044,0.950900213991034,0.0472,0.0438,0.9866,0.0084,0.005,0.978264381433531
15,"flat",0.2,5000,0.1528,0.137,0.9666,0.0246,0.0088,0.962056471541251,0.3542,0.3154,0.9428,0.048,0.0092,0.977764024363759
15,"flat",0.5,5000,0.6252,0.5484,0.9128,0.082,0.0052,0.948899309408712,0.989,0.9716,0.9826,0.0174,0,0.931214564608455
20,"normal",0,5000,0.0538,0.0532,0.977,0.0118,0.0112,0.892740485756368,0.048,0.0476,0.9844,0.008,0.0076,0.930439349484993
20,"normal",0.2,5000,0.0856,0.0796,0.974,0.016,0.01,0.912604498612425,0.1812,0.1682,0.9494,0.0318,0.0188,0.948725539516466
20,"normal",0.5,5000,0.3328,0.32,0.9332,0.0398,0.027,0.941623634381423,0.7956,0.7692,0.9432,0.0416,0.0152,0.949968308214042
20,"skewed",0,5000,0.0462,0.0484,0.9678,0.015,0.0172,0.735757117680837,0.0508,0.0522,0.9622,0.0182,0.0196,0.795546377942317
20,"skewed",0.2,5000,0.2102,0.2264,0.9142,0.0348,0.051,0.818737830991368,0.5296,0.5586,0.8618,0.0546,0.0836,0.837130566040547
20,"skewed",0.5,5000,0.8268,0.8524,0.9252,0.0246,0.0502,0.817461229520061,0.9994,0.9998,0.9996,0,4e-04,0.682154058038967
20,"heavy_tail",0,5000,0.0402,0.044,0.9722,0.012,0.0158,0.685736305994269,0.0484,0.05,0.9668,0.0158,0.0174,0.760020647275104
20,"heavy_tail",0.2,5000,0.069,0.0834,0.958,0.0138,0.0282,0.722728862549868,0.1,0.128,0.9308,0.0206,0.0486,0.766163894976245
20,"heavy_tail",0.5,5000,0.1766,0.2236,0.9114,0.0208,0.0678,0.755740420210118,0.416,0.5574,0.8242,0.0172,0.1586,0.76844317940321
20,"flat",0,5000,0.0506,0.0468,0.9854,0.0092,0.0054,0.962736133352523,0.0496,0.0452,0.988,0.0082,0.0038,0.981753180340155
20,"flat",0.2,5000,0.1848,0.181,0.9734,0.0152,0.0114,0.967723971092925,0.4576,0.4096,0.9388,0.0546,0.0066,0.979117216472087
20,"flat",0.5,5000,0.7752,0.713,0.9274,0.0674,0.0052,0.950139432923243,0.9998,0.9976,0.9978,0.0022,0,0.89684712221132
25,"normal",0,5000,0.0474,0.0462,0.9804,0.0104,0.0092,0.9016924419261,0.052,0.0508,0.98,0.0106,0.0094,0.93096596634303
25,"normal",0.2,5000,0.1098,0.1056,0.9698,0.0172,0.013,0.919596370335697,0.2248,0.208,0.9472,0.0348,0.018,0.948898329371102
25,"normal",0.5,5000,0.4096,0.3992,0.9324,0.039,0.0286,0.947777579151216,0.8812,0.8606,0.957,0.0318,0.0112,0.942535595540896
25,"skewed",0,5000,0.0444,0.0448,0.9716,0.014,0.0144,0.714819395786386,0.0462,0.05,0.9682,0.014,0.0178,0.780983586162503
25,"skewed",0.2,5000,0.2646,0.2724,0.909,0.0416,0.0494,0.812840777493038,0.6484,0.6728,0.8732,0.0512,0.0756,0.837764285487667
25,"skewed",0.5,5000,0.905,0.9224,0.951,0.0158,0.0332,0.813060353866946,1,1,1,0,0,0.398384496474284
25,"heavy_tail",0,5000,0.0424,0.051,0.9698,0.0108,0.0194,0.686785753938152,0.041,0.0456,0.9642,0.0156,0.0202,0.737418871841595
25,"heavy_tail",0.2,5000,0.0738,0.0934,0.9532,0.0136,0.0332,0.706760118877594,0.1168,0.1494,0.9146,0.0264,0.059,0.762623582653671
25,"heavy_tail",0.5,5000,0.2112,0.2738,0.8842,0.0266,0.0892,0.744522244524184,0.4888,0.6718,0.793,0.012,0.195,0.73431815509218
25,"flat",0,5000,0.05,0.0494,0.9886,0.006,0.0054,0.968071974343874,0.051,0.0496,0.993,0.0042,0.0028,0.986160977529455
25,"flat",0.2,5000,0.2168,0.206,0.9696,0.0206,0.0098,0.973326137379445,0.5566,0.511,0.942,0.0518,0.0062,0.982609307025875
25,"flat",0.5,5000,0.847,0.7898,0.9412,0.058,8e-04,0.951282401764655,1,1,1,0,0,0.901452332854229
30,"normal",0,5000,0.0484,0.0454,0.9806,0.0112,0.0082,0.903327509286171,0.044,0.0402,0.9798,0.012,0.0082,0.932503592649778
30,"normal",0.2,5000,0.1202,0.1208,0.9674,0.016,0.0166,0.923858033719721,0.2536,0.2426,0.9454,0.0328,0.0218,0.955648244590512
30,"normal",0.5,5000,0.4736,0.458,0.932,0.0418,0.0262,0.946993301526038,0.936,0.9294,0.975,0.0158,0.0092,0.936804976351208
30,"skewed",0,5000,0.0468,0.0502,0.9702,0.0132,0.0166,0.718492793154531,0.0464,0.0456,0.9656,0.0176,0.0168,0.788334552908934
30,"skewed",0.2,5000,0.2856,0.3016,0.892,0.046,0.062,0.825014037414671,0.7252,0.757,0.8862,0.041,0.0728,0.808679333411298
30,"skewed",0.5,5000,0.945,0.9604,0.967,0.0088,0.0242,0.792273962110511,1,1,1,0,0,0.31539745782947
30,"heavy_tail",0,5000,0.0498,0.0528,0.9634,0.0168,0.0198,0.661434316548978,0.0418,0.0492,0.961,0.0158,0.0232,0.72470477534461
30,"heavy_tail",0.2,5000,0.0734,0.0864,0.9506,0.0182,0.0312,0.694761753922011,0.1302,0.1734,0.9112,0.0228,0.066,0.755337486101824
30,"heavy_tail",0.5,5000,0.2376,0.3232,0.8636,0.0254,0.111,0.736648532669312,0.5672,0.752,0.79,0.0126,0.1974,0.68872876900554
30,"flat",0,5000,0.0526,0.0524,0.9902,0.005,0.0048,0.975592795190769,0.0496,0.0454,0.9926,0.0058,0.0016,0.988171868720112
30,"flat",0.2,5000,0.257,0.2482,0.9664,0.0212,0.0124,0.978165706573175,0.6376,0.5874,0.9418,0.0542,0.004,0.981527255227501
30,"flat",0.5,5000,0.9054,0.8578,0.9512,0.0482,6e-04,0.961376228919124,1,1,1,0,0,0.807484655149198
50,"normal",0,3000,0.0456666666666667,0.0473333333333333,0.981,0.00866666666666667,0.0103333333333333,0.900950890218367,0.0476666666666667,0.049,0.977333333333333,0.0106666666666667,0.012,0.933454121125371
50,"normal",0.2,3000,0.179666666666667,0.167,0.954,0.0293333333333333,0.0166666666666667,0.939611550289353,0.41,0.386333333333333,0.924333333333333,0.0496666666666667,0.026,0.954392763097189
50,"normal",0.5,3000,0.696666666666667,0.671666666666667,0.930333333333333,0.0473333333333333,0.0223333333333333,0.946445329453693,0.995666666666667,0.994,0.998333333333333,0.00166666666666667,0,0.923370690422566
50,"skewed",0,3000,0.0483333333333333,0.0456666666666667,0.962666666666667,0.02,0.0173333333333333,0.715311614353749,0.047,0.0516666666666667,0.962666666666667,0.0163333333333333,0.021,0.76883581326641
50,"skewed",0.2,3000,0.459666666666667,0.489,0.867333333333333,0.0516666666666667,0.081,0.829421328140113,0.917,0.940666666666667,0.948333333333333,0.014,0.0376666666666667,0.814058862559146
50,"skewed",0.5,3000,0.995666666666667,0.998,0.996333333333333,0.000666666666666667,0.003,0.73631251105608,1,1,1,0,0,0.0640439084241149
50,"heavy_tail",0,3000,0.0383333333333333,0.0476666666666667,0.961333333333333,0.0146666666666667,0.024,0.640124785747894,0.0443333333333333,0.044,0.965666666666667,0.0173333333333333,0.017,0.721824322170214
50,"heavy_tail",0.2,3000,0.096,0.125666666666667,0.929666666666667,0.0203333333333333,0.05,0.690974151454068,0.179,0.274,0.856333333333333,0.0243333333333333,0.119333333333333,0.75297509649486
50,"heavy_tail",0.5,3000,0.362333333333333,0.503666666666667,0.816666666666667,0.021,0.162333333333333,0.732088490728932,0.763,0.933333333333333,0.823666666666667,0.003,0.173333333333333,0.609971286302096
50,"flat",0,3000,0.0473333333333333,0.0483333333333333,0.990333333333333,0.00433333333333333,0.00533333333333333,0.984729439570801,0.047,0.0443333333333333,0.993333333333333,0.00466666666666667,0.002,0.993029136666817
50,"flat",0.2,3000,0.402,0.374333333333333,0.964333333333333,0.0316666666666667,0.004,0.984497195368149,0.871,0.831666666666667,0.96,0.0396666666666667,0.000333333333333333,0.977147053852433
50,"flat",0.5,3000,0.991333333333333,0.976333333333333,0.985,0.015,0,0.960172264777633,1,1,1,0,0,0.80022896294504
75,"normal",0,3000,0.0616666666666667,0.0576666666666667,0.976,0.014,0.01,0.914162922355908,0.0543333333333333,0.0546666666666667,0.979666666666667,0.01,0.0103333333333333,0.938120004940985
75,"normal",0.2,3000,0.239333333333333,0.232,0.95,0.0286666666666667,0.0213333333333333,0.940996352488443,0.587333333333333,0.56,0.928666666666667,0.0493333333333333,0.022,0.953091033293285
75,"normal",0.5,3000,0.85,0.836,0.955333333333333,0.0293333333333333,0.0153333333333333,0.948500502167269,0.999666666666667,0.999666666666667,1,0,0,0.956552935487309
75,"skewed",0,3000,0.0516666666666667,0.0486666666666667,0.964333333333333,0.0193333333333333,0.0163333333333333,0.704687584725917,0.05,0.051,0.959666666666667,0.0196666666666667,0.0206666666666667,0.774177515122421
75,"skewed",0.2,3000,0.619,0.648,0.865,0.053,0.082,0.833540034707098,0.986,0.991,0.989666666666667,0.00266666666666667,0.00766666666666667,0.687869157123768
75,"skewed",0.5,3000,1,1,1,0,0,0.700171446829329,1,1,1,0,0,0.0143476897121312
75,"heavy_tail",0,3000,0.0506666666666667,0.0473333333333333,0.958666666666667,0.0223333333333333,0.019,0.626369509014604,0.041,0.046,0.957,0.019,0.024,0.697013227932013
75,"heavy_tail",0.2,3000,0.12,0.156,0.908,0.028,0.064,0.67725091517128,0.245,0.381666666666667,0.814,0.0246666666666667,0.161333333333333,0.738837604155922
75,"heavy_tail",0.5,3000,0.467333333333333,0.675666666666667,0.761666666666667,0.015,0.223333333333333,0.691013818623705,0.896,0.991333333333333,0.904666666666667,0,0.0953333333333333,0.521703453657058
75,"flat",0,3000,0.0496666666666667,0.049,0.992,0.00433333333333333,0.00366666666666667,0.988986588873138,0.0613333333333333,0.064,0.995333333333333,0.001,0.00366666666666667,0.995312767162326
75,"flat",0.2,3000,0.559333333333333,0.531333333333333,0.965333333333333,0.0313333333333333,0.00333333333333333,0.986662396096161,0.971333333333333,0.951,0.979,0.0206666666666667,0.000333333333333333,0.980126235966988
75,"flat",0.5,3000,0.999333333333333,0.995666666666667,0.996333333333333,0.00366666666666667,0,0.965500072089083,1,1,1,0,0,0.992182449345705
100,"normal",0,3000,0.0506666666666667,0.047,0.983,0.0103333333333333,0.00666666666666667,0.910316450575215,0.05,0.0503333333333333,0.977,0.0113333333333333,0.0116666666666667,0.939541227389416
100,"normal",0.2,3000,0.279666666666667,0.272333333333333,0.938666666666667,0.0343333333333333,0.027,0.94487936116383,0.725333333333333,0.703333333333333,0.936,0.043,0.021,0.960284823338305
100,"normal",0.5,3000,0.949333333333333,0.936666666666667,0.977333333333333,0.0176666666666667,0.005,0.940805130263469,1,1,1,0,0,0.992872402708555
100,"skewed",0,3000,0.0523333333333333,0.0503333333333333,0.958,0.022,0.02,0.712361623694437,0.047,0.045,0.952,0.025,0.023,0.766911917024601
100,"skewed",0.2,3000,0.747,0.779333333333333,0.898333333333333,0.0346666666666667,0.067,0.83110329178673,0.998333333333333,1,0.998333333333333,0,0.00166666666666667,0.612326435742918
100,"skewed",0.5,3000,1,1,1,0,0,0.166367018316556,1,1,1,0,0,0.488608028382104
100,"heavy_tail",0,3000,0.0456666666666667,0.0446666666666667,0.959,0.021,0.02,0.601750536157674,0.051,0.0553333333333333,0.957666666666667,0.019,0.0233333333333333,0.688462054525645
100,"heavy_tail",0.2,3000,0.142333333333333,0.204666666666667,0.891666666666667,0.023,0.0853333333333333,0.693213048338043,0.324333333333333,0.499666666666667,0.778,0.0233333333333333,0.198666666666667,0.708666976023138
100,"heavy_tail",0.5,3000,0.572666666666667,0.794333333333333,0.756333333333333,0.011,0.232666666666667,0.628222000215387,0.951333333333333,0.999333333333333,0.952,0,0.048,0.348052889773082
100,"flat",0,3000,0.0593333333333333,0.0543333333333333,0.990333333333333,0.00733333333333333,0.00233333333333333,0.991523327655305,0.051,0.0513333333333333,0.995666666666667,0.002,0.00233333333333333,0.996492262931535
100,"flat",0.2,3000,0.681,0.647666666666667,0.962,0.0356666666666667,0.00233333333333333,0.988521955713821,0.995666666666667,0.987333333333333,0.991666666666667,0.00833333333333333,0,0.960255863857187
100,"flat",0.5,3000,1,1,1,0,0,0.943684800857418,1,1,1,0,0,0.859041292922827
200,"normal",0,1500,0.054,0.0526666666666667,0.978666666666667,0.0113333333333333,0.01,0.919924892416813,0.0473333333333333,0.0393333333333333,0.978666666666667,0.0146666666666667,0.00666666666666667,0.941392141716409
200,"normal",0.2,1500,0.520666666666667,0.514,0.929333333333333,0.0386666666666667,0.032,0.953913073319456,0.959333333333333,0.95,0.978666666666667,0.0153333333333333,0.006,0.963059235017108
200,"normal",0.5,1500,0.998666666666667,0.998,0.999333333333333,0.000666666666666667,0,0.937981753029843,1,1,1,0,0,0.512074896080725
200,"skewed",0,1500,0.05,0.0493333333333333,0.95,0.0253333333333333,0.0246666666666667,0.694121740820294,0.0486666666666667,0.054,0.954666666666667,0.02,0.0253333333333333,0.750969778587838
200,"skewed",0.2,1500,0.965333333333333,0.976,0.973333333333333,0.008,0.0186666666666667,0.835623972347465,1,1,1,0,0,0.34789014417103
200,"skewed",0.5,1500,1,1,1,0,0,0.348770723652335,1,1,1,0,0,0.990599705144373
200,"heavy_tail",0,1500,0.0506666666666667,0.0586666666666667,0.950666666666667,0.0206666666666667,0.0286666666666667,0.640627128527423,0.0533333333333333,0.056,0.954666666666667,0.0213333333333333,0.024,0.667201000435212
200,"heavy_tail",0.2,1500,0.226666666666667,0.342,0.83,0.0273333333333333,0.142666666666667,0.695660950026048,0.564666666666667,0.822,0.732,0.00533333333333333,0.262666666666667,0.650237648640189
200,"heavy_tail",0.5,1500,0.854,0.974666666666667,0.879333333333333,0,0.120666666666667,0.550332592476951,0.998,1,0.998,0,0.002,0.0198605096978949
200,"flat",0,1500,0.0486666666666667,0.0506666666666667,0.994,0.002,0.004,0.995788554986727,0.0513333333333333,0.052,0.998,0.000666666666666667,0.00133333333333333,0.998351108629417
200,"flat",0.2,1500,0.931333333333333,0.912666666666667,0.981333333333333,0.0186666666666667,0,0.989430960537634,1,1,1,0,0,0.94904040612377
200,"flat",0.5,1500,1,1,1,0,0,0.833570244411556,1,1,1,0,0,0.999538399456551
500,"normal",0,1500,0.05,0.0466666666666667,0.978,0.0126666666666667,0.00933333333333333,0.915801686053264,0.0413333333333333,0.0386666666666667,0.981333333333333,0.0106666666666667,0.008,0.940341363471611
500,"normal",0.2,1500,0.898666666666667,0.880666666666667,0.962,0.028,0.01,0.945747542108091,1,1,1,0,0,0.967414755316645
500,"normal",0.5,1500,1,1,1,0,0,0.743002918687521,1,1,1,0,0,0.562579397315152
500,"skewed",0,1500,0.054,0.046,0.958666666666667,0.0246666666666667,0.0166666666666667,0.702174398084435,0.046,0.0446666666666667,0.961333333333333,0.02,0.0186666666666667,0.768770395116664
500,"skewed",0.2,1500,1,1,1,0,0,0.776735278557647,1,1,1,0,0,0.812367675812294
500,"skewed",0.5,1500,1,1,1,0,0,0.074940484256378,1,1,1,0,0,-0.000791862436572669
500,"heavy_tail",0,1500,0.0473333333333333,0.0573333333333333,0.943333333333333,0.0233333333333333,0.0333333333333333,0.596361232563244,0.0486666666666667,0.056,0.955333333333333,0.0186666666666667,0.026,0.660692441447726
500,"heavy_tail",0.2,1500,0.473333333333333,0.718,0.727333333333333,0.014,0.258666666666667,0.673728423117458,0.916666666666667,0.999333333333333,0.917333333333333,0,0.0826666666666667,0.411088554200669
500,"heavy_tail",0.5,1500,0.99,1,0.99,0,0.01,0.459610697118148,1,1,1,0,0,-0.000699254509654393
500,"flat",0,1500,0.0566666666666667,0.0566666666666667,0.997333333333333,0.00133333333333333,0.00133333333333333,0.998370718589437,0.0486666666666667,0.0473333333333333,0.998666666666667,0.00133333333333333,0,0.999313141695902
500,"flat",0.2,1500,1,0.999333333333333,0.999333333333333,0.000666666666666667,0,0.992126358323497,1,1,1,0,0,0.969763817931309
500,"flat",0.5,1500,1,1,1,0,0,0.999999941896364,1,1,1,0,0,0.645462276300934
1000,"normal",0,800,0.05625,0.0575,0.98125,0.00875,0.01,0.912554465870923,0.0525,0.04125,0.98375,0.01375,0.0025,0.935087120097581
1000,"normal",0.2,800,0.9925,0.99375,0.99875,0,0.00125,0.994286907193239,1,1,1,0,0,0.888014452651685
1000,"normal",0.5,800,1,1,1,0,0,0.993008996260759,1,1,1,0,0,0.999936281256289
1000,"skewed",0,800,0.0475,0.03875,0.95875,0.025,0.01625,0.689569156930275,0.0525,0.045,0.95,0.02875,0.02125,0.761315727858143
1000,"skewed",0.2,800,1,1,1,0,0,0.647876399125717,1,1,1,0,0,0.0189802327674708
1000,"skewed",0.5,800,1,1,1,0,0,-0.00157846076570552,1,1,1,0,0,NA
1000,"heavy_tail",0,800,0.04375,0.035,0.95125,0.02875,0.02,0.556071791538629,0.04875,0.0575,0.95875,0.01625,0.025,0.650265460643153
1000,"heavy_tail",0.2,800,0.7775,0.94125,0.82875,0.00375,0.1675,0.557833535299396,0.99125,1,0.99125,0,0.00875,0.016098860558756
1000,"heavy_tail",0.5,800,1,1,1,0,0,0.0998186073531375,1,1,1,0,0,-0.00127009413162812
1000,"flat",0,800,0.05,0.05125,0.99875,0,0.00125,0.999114894451845,0.05625,0.05625,1,0,0,0.999641609382037
1000,"flat",0.2,800,1,1,1,0,0,0.980642531719829,1,1,1,0,0,0.999035421894351
1000,"flat",0.5,800,1,1,1,0,0,0.999672492869744,1,1,1,0,0,NA
5000,"normal",0,300,0.0533333333333333,0.0566666666666667,0.976666666666667,0.01,0.0133333333333333,0.929778883632726,0.0433333333333333,0.0333333333333333,0.983333333333333,0.0133333333333333,0.00333333333333333,0.944916345884768
5000,"normal",0.2,300,1,1,1,0,0,0.317122678778021,1,1,1,0,0,0.999975391199858
5000,"normal",0.5,300,1,1,1,0,0,1,1,1,1,0,0,NA
5000,"skewed",0,300,0.0433333333333333,0.03,0.96,0.0266666666666667,0.0133333333333333,0.718532530978644,0.0466666666666667,0.04,0.966666666666667,0.02,0.0133333333333333,0.820214313289268
5000,"skewed",0.2,300,1,1,1,0,0,0.597888721385468,1,1,1,0,0,NA
5000,"skewed",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
5000,"heavy_tail",0,300,0.04,0.0366666666666667,0.963333333333333,0.02,0.0166666666666667,0.503351747214369,0.0633333333333333,0.0466666666666667,0.936666666666667,0.04,0.0233333333333333,0.579998340660602
5000,"heavy_tail",0.2,300,1,1,1,0,0,0.00344249287336334,1,1,1,0,0,0.00286838137544244
5000,"heavy_tail",0.5,300,1,1,1,0,0,-0.00366577309145547,1,1,1,0,0,NA
5000,"flat",0,300,0.0366666666666667,0.0366666666666667,1,0,0,0.999800108754588,0.05,0.05,1,0,0,0.999943878130063
5000,"flat",0.2,300,1,1,1,0,0,0.966281399376313,1,1,1,0,0,NA
5000,"flat",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"normal",0,300,0.06,0.0733333333333333,0.98,0.00333333333333333,0.0166666666666667,0.915498110889566,0.05,0.04,0.976666666666667,0.0166666666666667,0.00666666666666667,0.933255747777702
10000,"normal",0.2,300,1,1,1,0,0,0.166079934108277,1,1,1,0,0,0.0331105899691212
10000,"normal",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"skewed",0,300,0.0466666666666667,0.05,0.963333333333333,0.0166666666666667,0.02,0.618649503414694,0.05,0.05,0.953333333333333,0.0233333333333333,0.0233333333333333,0.791195199427018
10000,"skewed",0.2,300,1,1,1,0,0,0.03626370798474,1,1,1,0,0,NA
10000,"skewed",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
10000,"heavy_tail",0,300,0.05,0.0433333333333333,0.946666666666667,0.03,0.0233333333333333,0.563343591921093,0.0366666666666667,0.0533333333333333,0.943333333333333,0.02,0.0366666666666667,0.631096917542794
10000,"heavy_tail",0.2,300,1,1,1,0,0,0.0521471236167279,1,1,1,0,0,-0.00362485668952876
10000,"heavy_tail",0.5,300,1,1,1,0,0,0.999999999004939,1,1,1,0,0,NA
10000,"flat",0,300,0.05,0.05,1,0,0,0.999900168448748,0.04,0.0433333333333333,0.996666666666667,0,0.00333333333333333,0.999964246764107
10000,"flat",0.2,300,1,1,1,0,0,0.992128755043942,1,1,1,0,0,NA
10000,"flat",0.5,300,1,1,1,0,0,NA,1,1,1,0,0,NA
